molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL164441,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Oc2ccccc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,intermediate,1400.0
CHEMBL435453,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2[N+](=O)[O-])c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,180.0
CHEMBL354460,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2ccccc2OC)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,360.0
CHEMBL167819,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(CC(=O)Nc2ccccc2[N+](=O)[O-])c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,intermediate,2530.0
CHEMBL164440,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(CC(=O)Nc2nccc3ccccc23)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,440.0
CHEMBL354665,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)NCc2ccccc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,intermediate,1200.0
CHEMBL354990,CCOC(=O)c1ccc(NC(=O)N[C@]2(C)C[C@@H](C(=O)N[C@@H](CC)B3OC4C5CC(C[C@]4(C)O3)C5(C)C)n3c2ncc(NCc2cccc(C(F)(F)F)c2)c3=O)cc1,intermediate,1100.0
CHEMBL163853,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Cc2ccccc2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,intermediate,2400.0
CHEMBL164692,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(CC(=O)Nc2ccccc2C(N)=O)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,150.0
CHEMBL163654,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(NC(=O)Nc2cccc(C(=O)OC)c2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,intermediate,1770.0
CHEMBL355383,CC[C@H](NC(=O)[C@@H]1C[C@@](C)(CC(=O)Nc2cccc(SC)c2)c2ncc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2C3CC(C[C@]2(C)O1)C3(C)C,active,90.0
CHEMBL165275,CCOC(=O)c1ccccc1NC(=O)N[C@]1(C)C[C@@H](C(=O)N[C@@H](CC)B2OC3C4CC(C[C@]3(C)O2)C4(C)C)n2c1ncc(NCc1cccc(C(F)(F)F)c1)c2=O,active,100.0
CHEMBL1790304,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,130000.0
CHEMBL298641,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,580000.0
CHEMBL1790289,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(C)=O)C(C)C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,52000.0
CHEMBL2372771,CC[C@H](C)[C@H](NC(=O)[C@H](NC(=O)[C@H](CC(=O)O)NC(C)=O)C(C)C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,intermediate,7500.0
CHEMBL2372770,CC[C@H](C)[C@H](NC(=O)[C@@H](CC(=O)O)NC(=O)CCC(=O)O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,76000.0
CHEMBL1790299,CC[C@H](C)[C@H](NC(=O)CCC(=O)O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,830000.0
CHEMBL1790303,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,71000.0
CHEMBL1790286,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,93000.0
CHEMBL1790305,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,200000.0
CHEMBL1790282,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)C(C)(C)S)C(C)C,inactive,630000.0
CHEMBL1790281,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)O)C(C)C,inactive,1000000.0
CHEMBL2369571,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(C)=O)C(C)(C)C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,20000.0
CHEMBL1790297,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CSC)C(=O)O)C(C)C,inactive,160000.0
CHEMBL1790300,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,140000.0
CHEMBL2370476,CC[C@H](C)[C@H](NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,intermediate,4000.0
CHEMBL1790295,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)O)C(C)C,inactive,710000.0
CHEMBL2372765,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](CS)C(=O)O)C(C)C,inactive,330000.0
